"Category","Annual Mean","5-yr smooth"
"1901",26.63,26.74
"1902",26.83,26.76
"1903",26.86,26.78
"1904",26.81,26.8
"1905",26.71,26.82
"1906",27.08,26.84
"1907",26.86,26.86
"1908",26.81,26.89
"1909",26.77,26.91
"1910",26.87,26.92
"1911",26.82,26.94
"1912",26.92,26.94
"1913",27.06,26.93
"1914",27.27,26.92
"1915",26.84,26.91
"1916",26.82,26.9
"1917",26.83,26.89
"1918",26.82,26.89
"1919",26.85,26.88
"1920",26.86,26.88
"1921",26.85,26.87
"1922",26.84,26.86
"1923",27.07,26.84
"1924",26.96,26.82
"1925",26.29,26.81
"1926",27.12,26.81
"1927",27.02,26.84
"1928",26.67,26.9
"1929",26.35,26.99
"1930",27.5,27.1
"1931",27.79,27.21
"1932",27.39,27.31
"1933",27.12,27.41
"1934",27.43,27.49
"1935",27.55,27.55
"1936",27,27.58
"1937",27.62,27.59
"1938",28.1,27.56
"1939",27.6,27.51
"1940",26.87,27.44
"1941",27.87,27.35
"1942",27.52,27.25
"1943",26.96,27.15
"1944",27.02,27.05
"1945",26.6,26.96
"1946",26.76,26.88
"1947",27.02,26.8
"1948",26.46,26.74
"1949",27.09,26.69
"1950",26.49,26.66
"1951",26.89,26.63
"1952",26.71,26.62
"1953",26.58,26.63
"1954",26.61,26.65
"1955",26.48,26.67
"1956",26.56,26.7
"1957",26.66,26.72
"1958",26.95,26.73
"1959",26.76,26.72
"1960",26.87,26.69
"1961",26.28,26.66
"1962",26.68,26.64
"1963",27.02,26.64
"1964",26.66,26.66
"1965",26.56,26.72
"1966",26.81,26.79
"1967",26.55,26.85
"1968",26.78,26.9
"1969",27.3,26.91
"1970",26.91,26.87
"1971",26.45,26.8
"1972",26.84,26.71
"1973",27.19,26.62
"1974",26.34,26.56
"1975",26.27,26.52
"1976",26.43,26.53
"1977",26.54,26.56
"1978",26.59,26.62
"1979",26.88,26.71
"1980",26.91,26.82
"1981",26.9,26.93
"1982",26.99,27.04
"1983",27.11,27.13
"1984",27.23,27.18
"1985",27.01,27.17
"1986",27.04,27.11
"1987",27.38,27.02
"1988",26.86,26.92
"1989",26.39,26.84
"1990",27.2,26.8
"1991",26.96,26.8
"1992",26.59,26.84
"1993",26.96,26.9
"1994",26.75,26.97
"1995",27.05,27.04
"1996",27.13,27.08
"1997",27.14,27.12
"1998",27.51,27.14
"1999",27.12,27.16
"2000",26.92,27.19
"2001",27.11,27.22
"2002",27.28,27.26
"2003",27.38,27.3
"2004",27.38,27.35
"2005",27.5,27.4
"2006",27.47,27.44
"2007",27.45,27.48
"2008",27.09,27.51
"2009",27.75,27.53
"2010",27.86,27.55
"2011",27.49,27.55
"2012",27.3,27.54
"2013",27.51,27.53
"2014",27.61,27.51
"2015",27.38,27.49
"2016",27.79,27.48
"2017",27.46,27.48
"2018",27.41,27.48
"2019",27.29,27.49
"2020",27.43,27.5
"2021",27.67,27.51
