date,rain
1/1/2012,0
2/1/2012,0
3/1/2012,0
4/1/2012,0
5/1/2012,0
6/1/2012,0
7/1/2012,0
8/1/2012,0
9/1/2012,0
10/1/2012,0
11/1/2012,0
12/1/2012,0
13/01/2012,0
14/01/2012,0
15/01/2012,0
16/01/2012,0
17/01/2012,0
18/01/2012,0
19/01/2012,0
20/01/2012,0
21/01/2012,0
22/01/2012,0
23/01/2012,0
24/01/2012,0
25/01/2012,0
26/01/2012,0
27/01/2012,0
28/01/2012,0
29/01/2012,0
30/01/2012,0
31/01/2012,0
1/2/2012,0
2/2/2012,0
3/2/2012,0
4/2/2012,0
5/2/2012,0
6/2/2012,0
7/2/2012,0
8/2/2012,0
9/2/2012,0
10/2/2012,0
11/2/2012,0
12/2/2012,0
13/02/2012,0
14/02/2012,0
15/02/2012,0
16/02/2012,0
17/02/2012,0
18/02/2012,0
19/02/2012,0
20/02/2012,0
21/02/2012,0
22/02/2012,0
23/02/2012,0
24/02/2012,0
25/02/2012,0
26/02/2012,0
27/02/2012,0
28/02/2012,0
29/02/2012,0
1/3/2012,0
2/3/2012,0
3/3/2012,0
4/3/2012,0
5/3/2012,0
6/3/2012,0
7/3/2012,0
8/3/2012,0
9/3/2012,0
10/3/2012,0
11/3/2012,0
12/3/2012,0
13/03/2012,0
14/03/2012,0
15/03/2012,0
16/03/2012,0
17/03/2012,0
18/03/2012,0
19/03/2012,0
20/03/2012,0
21/03/2012,0
22/03/2012,0
23/03/2012,0
24/03/2012,0
25/03/2012,0
26/03/2012,0
27/03/2012,0
28/03/2012,0
29/03/2012,0
30/03/2012,0
31/03/2012,0
1/4/2012,0
2/4/2012,0
3/4/2012,0
4/4/2012,0
5/4/2012,0
6/4/2012,0
7/4/2012,0
8/4/2012,0
9/4/2012,0
10/4/2012,8.8
11/4/2012,0
12/4/2012,0
13/04/2012,0
14/04/2012,0
15/04/2012,0
16/04/2012,18.5
17/04/2012,0
18/04/2012,0
19/04/2012,0
20/04/2012,0
21/04/2012,0
22/04/2012,0
23/04/2012,4.9
24/04/2012,0.5
25/04/2012,0.2
26/04/2012,0
27/04/2012,0
28/04/2012,0
29/04/2012,5.3
30/04/2012,23.4
1/5/2012,0
2/5/2012,0
3/5/2012,0
4/5/2012,0
5/5/2012,0.8
6/5/2012,19.9
7/5/2012,0
8/5/2012,0
9/5/2012,0
10/5/2012,0
11/5/2012,11.2
12/5/2012,1.9
13/05/2012,0.5
14/05/2012,0
15/05/2012,0
16/05/2012,4.9
17/05/2012,0
18/05/2012,0.3
19/05/2012,0
20/05/2012,0.3
21/05/2012,4
22/05/2012,0
23/05/2012,0
24/05/2012,43.3
25/05/2012,0
26/05/2012,16.4
27/05/2012,40.4
28/05/2012,6.1
29/05/2012,36.2
30/05/2012,26.6
31/05/2012,0
1/6/2012,28.3
2/6/2012,0
3/6/2012,6.2
4/6/2012,1.2
5/6/2012,0
6/6/2012,0
7/6/2012,0
8/6/2012,0
9/6/2012,6.8
10/6/2012,0
11/6/2012,0.9
12/6/2012,0
13/06/2012,4.6
14/06/2012,0
15/06/2012,18.8
16/06/2012,0
17/06/2012,0
18/06/2012,13.5
19/06/2012,0.4
20/06/2012,0
21/06/2012,0
22/06/2012,1.3
23/06/2012,10.2
24/06/2012,0
25/06/2012,0
26/06/2012,0
27/06/2012,1.1
28/06/2012,0
29/06/2012,0
30/06/2012,47
1/7/2012,47
2/7/2012,0
3/7/2012,1.3
4/7/2012,0
5/7/2012,0
6/7/2012,15.7
7/7/2012,3.4
8/7/2012,2.2
9/7/2012,0
10/7/2012,1.6
11/7/2012,23.9
12/7/2012,0.2
13/07/2012,13.9
14/07/2012,16.8
15/07/2012,0
16/07/2012,0.1
17/07/2012,23.6
18/07/2012,6.9
19/07/2012,0
20/07/2012,0
21/07/2012,0.9
22/07/2012,1.2
23/07/2012,0
24/07/2012,0.5
25/07/2012,36.5
26/07/2012,0.9
27/07/2012,23
28/07/2012,0
29/07/2012,0
30/07/2012,5.7
31/07/2012,0.3
1/8/2012,0
2/8/2012,0
3/8/2012,34.2
4/8/2012,6.4
5/8/2012,0
6/8/2012,0.2
7/8/2012,3.6
8/8/2012,2.9
9/8/2012,12.2
10/8/2012,18.1
11/8/2012,2.5
12/8/2012,0
13/08/2012,44.8
14/08/2012,7.9
15/08/2012,0.8
16/08/2012,10.6
17/08/2012,17.4
18/08/2012,1
19/08/2012,0
20/08/2012,18.2
21/08/2012,0
22/08/2012,0.2
23/08/2012,0
24/08/2012,0
25/08/2012,3.2
26/08/2012,48.7
27/08/2012,0.8
28/08/2012,0
29/08/2012,21
30/08/2012,14.7
31/08/2012,0
1/9/2012,22
2/9/2012,1.5
3/9/2012,0.5
4/9/2012,45.9
5/9/2012,0
6/9/2012,54.3
7/9/2012,0.5
8/9/2012,1
9/9/2012,15.2
10/9/2012,34.7
11/9/2012,21.3
12/9/2012,0
13/09/2012,0
14/09/2012,0
15/09/2012,3.1
16/09/2012,82.1
17/09/2012,0
18/09/2012,12.1
19/09/2012,0
20/09/2012,20.6
21/09/2012,0
22/09/2012,0.2
23/09/2012,0
24/09/2012,0
25/09/2012,3.2
26/09/2012,48.7
27/09/2012,0.8
28/09/2012,0
29/09/2012,21
30/09/2012,14.7
1/10/2012,0.1
2/10/2012,0
3/10/2012,0
4/10/2012,0
5/10/2012,0
6/10/2012,4.8
7/10/2012,19.3
8/10/2012,0
9/10/2012,0
10/10/2012,0
11/10/2012,0
12/10/2012,0.5
13/10/2012,0
14/10/2012,0
15/10/2012,0
16/10/2012,0
17/10/2012,0
18/10/2012,95.5
19/10/2012,0
20/10/2012,12.3
21/10/2012,2.6
22/10/2012,0
23/10/2012,0
24/10/2012,0
25/10/2012,0
26/10/2012,0
27/10/2012,0
28/10/2012,0
29/10/2012,0
30/10/2012,0
31/10/2012,0
1/11/2012,0
2/11/2012,0
3/11/2012,0
4/11/2012,0
5/11/2012,0
6/11/2012,0
7/11/2012,0
8/11/2012,0
9/11/2012,0
10/11/2012,0
11/11/2012,0
12/11/2012,0
13/11/2012,0
14/11/2012,0
15/11/2012,0
16/11/2012,0
17/11/2012,0
18/11/2012,0
19/11/2012,0
20/11/2012,0
21/11/2012,0
22/11/2012,0
23/11/2012,0
24/11/2012,0
25/11/2012,0
26/11/2012,0
27/11/2012,0
28/11/2012,0
29/11/2012,0
30/11/2012,0
1/12/2012,0
2/12/2012,0
3/12/2012,0
4/12/2012,0
5/12/2012,0
6/12/2012,0
7/12/2012,0
8/12/2012,0
9/12/2012,0
10/12/2012,0
11/12/2012,0
12/12/2012,0
13/12/2012,0
14/12/2012,0
15/12/2012,0
16/12/2012,0
17/12/2012,0
18/12/2012,0
19/12/2012,0
20/12/2012,0
21/12/2012,0
22/12/2012,0
23/12/2012,0
24/12/2012,0
25/12/2012,0
26/12/2012,0
27/12/2012,0
28/12/2012,0
29/12/2012,0
30/12/2012,0
31/12/2012,0
1/1/2013,0
2/1/2013,0
3/1/2013,0
4/1/2013,0
5/1/2013,0
6/1/2013,0
7/1/2013,0
8/1/2013,0
9/1/2013,0
10/1/2013,0
11/1/2013,0
12/1/2013,0
13/01/2013,0
14/01/2013,0
15/01/2013,0
16/01/2013,0
17/01/2013,0
18/01/2013,0
19/01/2013,0
20/01/2013,0
21/01/2013,0
22/01/2013,0
23/01/2013,0
24/01/2013,0
25/01/2013,0
26/01/2013,0
27/01/2013,0
28/01/2013,0
29/01/2013,0
30/01/2013,0
31/01/2013,0
1/2/2013,0
2/2/2013,0
3/2/2013,0
4/2/2013,0
5/2/2013,0
6/2/2013,0
7/2/2013,0
8/2/2013,0
9/2/2013,0
10/2/2013,0
11/2/2013,0
12/2/2013,0
13/02/2013,0
14/02/2013,0
15/02/2013,0
16/02/2013,0
17/02/2013,0
18/02/2013,0
19/02/2013,0
20/02/2013,0
21/02/2013,0
22/02/2013,0
23/02/2013,0
24/02/2013,0
25/02/2013,0
26/02/2013,0
27/02/2013,0
28/02/2013,0
1/3/2013,0
2/3/2013,0
3/3/2013,0
4/3/2013,0
5/3/2013,0
6/3/2013,0
7/3/2013,0
8/3/2013,0
9/3/2013,0
10/3/2013,0
11/3/2013,0
12/3/2013,0
13/03/2013,0
14/03/2013,0
15/03/2013,0
16/03/2013,0
17/03/2013,0
18/03/2013,0
19/03/2013,0
20/03/2013,0
21/03/2013,0
22/03/2013,0
23/03/2013,0
24/03/2013,0
25/03/2013,0
26/03/2013,0
27/03/2013,13.6
28/03/2013,0.5
29/03/2013,33.9
30/03/2013,0
31/03/2013,0
1/4/2013,0
2/4/2013,0
3/4/2013,0
4/4/2013,0
5/4/2013,0
6/4/2013,0
7/4/2013,0
8/4/2013,0
9/4/2013,0
10/4/2013,0
11/4/2013,0
12/4/2013,0
13/04/2013,0
14/04/2013,0
15/04/2013,0
16/04/2013,0
17/04/2013,0
18/04/2013,0
19/04/2013,27.1
20/04/2013,0
21/04/2013,11.1
22/04/2013,0
23/04/2013,0
24/04/2013,11.9
25/04/2013,0
26/04/2013,0
27/04/2013,14.1
28/04/2013,0
29/04/2013,0
30/04/2013,10.1
1/5/2013,0
2/5/2013,0
3/5/2013,0
4/5/2013,2.8
5/5/2013,9.1
6/5/2013,0
7/5/2013,0
8/5/2013,10.2
9/5/2013,0
10/5/2013,0
11/5/2013,0
12/5/2013,0
13/05/2013,6.4
14/05/2013,1.1
15/05/2013,0
16/05/2013,0
17/05/2013,3.8
18/05/2013,0
19/05/2013,0
20/05/2013,0
21/05/2013,14.5
22/05/2013,0
23/05/2013,9.4
24/05/2013,0
25/05/2013,28.3
26/05/2013,32
27/05/2013,0
28/05/2013,0
29/05/2013,0
30/05/2013,0
31/05/2013,0
1/6/2013,12.6
2/6/2013,0
3/6/2013,0
4/6/2013,13.9
5/6/2013,0
6/6/2013,1.4
7/6/2013,0
8/6/2013,0
9/6/2013,1.1
10/6/2013,0
11/6/2013,0
12/6/2013,0
13/06/2013,28.9
14/06/2013,14
15/06/2013,7.2
16/06/2013,36.2
17/06/2013,0
18/06/2013,0
19/06/2013,0
20/06/2013,0
21/06/2013,0
22/06/2013,0
23/06/2013,0
24/06/2013,0
25/06/2013,0
26/06/2013,15.3
27/06/2013,20.2
28/06/2013,78.6
29/06/2013,27.8
30/06/2013,29.9
1/7/2013,0
2/7/2013,0
3/7/2013,5.2
4/7/2013,4.1
5/7/2013,1.4
6/7/2013,82.2
7/7/2013,8.3
8/7/2013,5.8
