Timestamp,lga,gender,age,education,do you own land,6- How did you acquire farming land?,7- Size of your farm?,8- Core sources of income?,9- Level of income per month in Nigerian naira?,"10- In addition to maize farming, what are your other sources of income and Average annual income (Naira)?",11- . Specify whether you acknowledged any credit for your agriculture ?,12- Years of farming experience?,13- Are you a member of a farmers’ association? ,14- Specify aids received as a member?,1- In your opinion is climate change taking place?,"2- If you are agreed, please specify from the list below what is your experience for the last 20 years that varieties your opinion that climate change is happening? ",3- Are you afraid of these climate changes?,"4- If yes, why?","1- Would you come to an agreement that the changes you stated, have negatively affected your maize farming activities?","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increase in temperature]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increase in rainfall and increased frequency and intensity of floods]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Changes in precipitation patterns]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increased frequency and intensity of droughts and decline in rainfall]",3- Take a reference of the last 10 years (2021); Is Maize farming areas?,"4- If increases or decreases, why?",1- Have you transformed your maize farming practices in response to climate change conditions?,2- Are you cognizant of climate-smart practices? ,4- Have you experienced any training on climate-smart practices for more than one week in an NGO or an institution? ,5- Do you know the benefits connected with the adoption of climate-smart practices? ,6- If yes what are the advantages of the adoption of climate-smart practices? ,7- ,7- For how long have you tried them on your farm? ,"8- If you have tried these practices, what do you propose to do? ",1- Do you receive climate information or early warning messages? ,"2- If yes, how do you receive this information through communication channels?","3- If you have received climate information, are you using the information?",4- If not why?,"5- If yes, does it influence you to change management practices? ",6- If yes what are the management options?,"10- In addition to maize farming, what are your other sources of income and Average annual income (Naira)? [Others]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Mixed cropping]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Combined crop and livestock systems]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Using seasonal weather predictions]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Agroforestry]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Crop rotation]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Rainwater harvesting]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Irrigation using effective technology]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Farmyard composting]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Preservation of hay during the dry season]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Use of organic manure & chemical fertilizer]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Other, specify]"
6/14/2022 12:44,,Female,20 – 40,Primary school education,No,Rented,50 – 200ft,Farm income,< 10000,10000,No,5 years,Yes,Any other benefit,Agree,"Decrease in rainfall, Increase in temperature",Yes,Crop yields have declined,Strongly agree,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,The decline in crop yield,The decline in crop yield diseases,Decrease,Low rains,Yes,Yes,No,Yes,"Enhances resilience to climate change, Increases productivity",,2 years,Continue,No,"Radio, Extension services, Neighbors and friends",Yes,No training from extension services,Yes,,,,,,,,,,,,,
6/15/2022 0:07,Soba,Male,20 – 40,Tertiary Education,Yes,"Bought, Rented",50 – 200ft,"Non-farm income (employment, business, etc)",Above 10000,40000,No,Above 5 years,No,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,I am unable to plan my farming activities,Strongly agree,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Increase,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,No,"Neighbors and friends, Native forecasters",Yes,,Yes,,,,,,,,,,,,,
6/17/2022 18:54,Jema'a,Male,20 – 40,Primary school education,Yes,Inherited,50 – 200ha,"Non-farm income (employment, business, etc)",< 10000,"Above 100,000",Yes,Above 5 years,Yes,Access to credit,Strongly agree,Decrease in rainfall,Yes,Crops have been destroyed and livestock died,Agree,None,The emergence of new strains of pests and diseases,The decline in crop yield diseases,The emergence of new strains of pests and diseases,Increase,Ub,Yes,Yes,Yes,Yes,Enhances food security,,Above 2 years,Abandon,Yes,"Television, Extension services",Yes,Yj,No,Kj,"10,000",None,Aware (Yes),Aware (No),Aware (Yes),Aware (Yes),Aware (Yes),None,Aware (Yes),Aware (No),None,Aware (Yes)
6/17/2022 20:54,Ikara,Male,above 40,Primary school education,Yes,Rented,50 – 200ha,Farm income,Above 10000,"10,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts",Yes,Crop yields have declined,Strongly agree,The emergence of new strains of pests and diseases,Destruction of crops as a result of flooding,The decline in crop yield diseases,The emergence of new strains of pests and diseases,Decrease,Low rain,Yes,Yes,No,Yes,Enhances food security,,Above 2 years,Abandon,No,"Radio, Extension services, Neighbors and friends",Yes,,Yes,"Crop rotation, mixed farming","10,000",Aware (Yes),Knowledge (No),Knowledge (No),None,Knowledge (Yes),Aware (Yes),Aware (Yes),None,Aware (Yes),Aware (No),None
6/18/2022 5:04,Kubau,Male,above 40,Secondary School education,Yes,Inherited,Above 200ha,Farm income,< 10000,"60,000",No,Above 5 years,Yes,Learn new methods of farming,Agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Reduced moisture in the soil leads to wilting of crops,The decline in crop yield,Reduced moisture in the soil leads to wilting of crops,Reduced moisture in the soil leads to wilting of crops,Decrease,The crop yield is depreciating annually due to unstable rainfall pattern and low soil quality even with the use of fertilizer ,No,Yes,No,Somehow ,"Enhances resilience to climate change, Increases productivity",,2 years,Continue,No,Other,No,Because I haven’t received any of such information ,No,,"20,000",Practice (Yes),Aware (Yes),None,None,Practice (Yes),None,Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),None
6/18/2022 5:45,Makarfi,Male,20 – 40,Secondary School education,Yes,Inherited,50 – 200ha,Farm income,< 10000,"10,000",No,Above 5 years,No,Learn new methods of farming,Neutral,Increase in temperature,Yes,Crops have been destroyed and livestock died,Strongly agree,None,None,None,None,Increase,Because people of area need food to eat and make our economy group ,No,No,No,No,Increases productivity,,2 years,Continue,No,Other,No,I no receive ,No,,"10,000",Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),None,Aware (No)
6/18/2022 14:25,Sanga,Male,20 – 40,Tertiary Education,No,"Inherited, Bought",50 – 200ha,Farm income,Above 10000,"30,000",No,Above 5 years,No,Nothing,Strongly agree,In some season it's increased while in some it decreased ,No,Other reason,Agree,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,None,Increase,Many youths venture into farming because their is no employment.,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources",,Above 2 years,Continue,Yes,"Radio, Television, Internet, Extension services",Yes,,Yes,"Planting time, harvesting time, pre and post-management plans.","30,000",Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),None
6/18/2022 14:37,Igabi,Male,20 – 40,Arabic Education,No,Rented,50 – 200ha,Business,Above 10000,"10,000",No,5 years,Yes,Learn new methods of farming,Agree,Decrease in rainfall,Yes,Crop yields have declined,Strongly agree,None,The emergence of new strains of pests and diseases,None,The decline in crop yield diseases,Increase,It increases because is a common staple food,No,No,No,No,Increases productivity,,2 years,Continue,No,Neighbors and friends,Yes,,Yes,Stop cutting down trees,"30,000",None,None,None,None,None,None,None,None,None,None,None
6/18/2022 15:00,Sabon Gari,Male,20 – 40,Tertiary Education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"20,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,Decrease in temperature,Yes,Crop yields have declined,Agree,The emergence of new strains of pests and diseases,The decline in crop yield diseases,Exacerbated soil erosion,Reduced moisture in the soil leads to wilting of crops,Decrease,Insecurities ,Yes,Yes,No,Yes,Increases productivity,,Above 2 years,Continue,Yes,Participatory Township planning meeting,Yes,,No,,"60,000",Aware (Yes),Aware (No),Knowledge (Yes),Aware (No),Practice (Yes),Knowledge (Yes),Aware (No),Knowledge (No),Practice (No),Practice (Yes),Knowledge (No)
6/18/2022 15:30,Zaria,Male,20 – 40,Tertiary Education,Yes,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"10,000",Yes,1 year,No,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts",Yes,Crops have been destroyed and livestock died,Strongly agree,"Inability to plan farming activities, instability in production resulting from the Crop failure.",None,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Decrease,Climate change reduced the quality and quantity of rainfall thereby reducing productivity in some areas where are in some the rainfall happens to be too much thereby causing flooding and erosion which also reduces productivity.,Yes,No,Yes,No,Enhances resilience to climate change,,Nil,Continue,Yes,"Newspapers, Internet, Neighbors and friends, Local administrators",No,Because am not too much into the practice due to low capital,No,,"20,000",None,None,None,None,None,None,None,None,None,None,None
6/18/2022 15:38,Kaduna North,Male,20 – 40,Tertiary Education,Yes,Bought,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",No,Above 5 years,No,Learn new methods of farming,Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Strongly agree,"Inability to plan farming activities, instability in production resulting from the Crop failure.",The decline in crop yield diseases,The decline in crop yield diseases,Pests and diseases outbreak,Decrease,"Insecurity in some areas
Poor or lack of input which necessitated growing a less demanding crop
",Yes,Yes,No,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,2 years,Continue,Yes,"Radio, Internet, Neighbors and friends",Yes,,Yes,"Adjusting timing for planting
Growing of short maturing vatieties
Growing of multiple crops","10,000",Practice (Yes),Practice (No),Aware (Yes),None,Practice (Yes),Practice (No),None,Practice (Yes),Practice (No),Practice (Yes),None
6/18/2022 19:06,Makarfi,Male,20 – 40,Secondary School education,Yes,Bought,50 – 200ha,"Non-farm income (employment, business, etc)",< 10000,"60,000",No,Above 5 years,No,Any other benefit,Agree,Increase in temperature,Yes,Crops have been destroyed and livestock died,Agree,Destruction of crops as a result of flooding,None,The emergence of new strains of pests and diseases,Reduced moisture in the soil leads to wilting of crops,Increase,Due to the awareness and benefits of it,Yes,No,No,Yes,Increases productivity,,Above 2 years,Abandon,Yes,Radio,Yes,,Yes,,"20,000",None,None,None,None,None,None,None,None,None,None,None
6/19/2022 6:32,Zaria,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"40,000",No,Above 5 years,Yes,"Learn new methods of farming, Access to extension services, Any other benefit",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts",Yes,Crop yields have declined,Strongly agree,The decline in crop yield,Exacerbated soil erosion,Destruction of crops as a result of flooding,The emergence of new strains of pests and diseases,Increase,Population ,Yes,Yes,No,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources",,None ,Continue,No,"Other, None",No,Haven't received ,Not sure ,Nil,"30,000",Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (No)
6/19/2022 20:36,Zaria,Male,20 – 40,Secondary School education,Yes,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",No,5 years,No,Learn new methods of farming,Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts",Yes,Crops have been destroyed and livestock died,Strongly agree,Destruction of crops as a result of flooding,Destruction of crops as a result of flooding,The decline in crop yield,The decline in crop yield,Decrease,"Because the effects of climate changes and other challenges on maize farming is minimal then and now, is worse",Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources",,2 years,Continue,No,Participatory Township planning meeting,No,Because the information are not available ,Yes,,"10,000",Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes)
